committee_id,committee_name,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,recipient_name,recipient_state,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label
C00854307,WHITNEY FOX FOR CONGRESS,202503139754146163,17,500752695,1880276,ORG,ORGANIZATION,AMALGAMATED BANK,DC,BANK FEE,,,1/28/25 0:00,49.25,4031320251180004001,WASHINGTON,200061202,OTHER,,2026,SB,4031320251180030903,https://docquery.fec.gov/cgi-bin/fecimg/?202503139754146163,Operating Expenditures
C00663914,GREAT AMERICAN FUND,202504089755144027,17,B5F701B2D6AE34E3990C,1884597,ORG,ORGANIZATION,JACKIE AMERICAN B,DC,FOOD/BEVERAGE,X,,2/18/25 0:00,1561.3,4040820251183334053,WASHINGTON,200033848,OTHER,,2026,SB,4040820251183375029,https://docquery.fec.gov/cgi-bin/fecimg/?202504089755144027,Operating Expenditures
C00494856,LOIS FRANKEL FOR CONGRESS,202504119755217369,17,500990914,1885354,ORG,ORGANIZATION,"DEMOCRACY ENGINE, LLC",DC,CREDIT CARD PROCESSING FEE,,,3/20/25 0:00,125,4041120251183621080,WASHINGTON,200115873,OTHER,,2026,SB,4041420251184147681,https://docquery.fec.gov/cgi-bin/fecimg/?202504119755217369,Operating Expenditures
C00865253,COMMITTEE TO ELECT CAROLINE GLEICH,202503109754098419,17,500152737,1879894,ORG,ORGANIZATION,AMALGAMATED BANK,DC,BANK FEES,,,1/28/25 0:00,14,4031020251179730011,WASHINGTON,200061202,OTHER,,2026,SB,4031020251179817868,https://docquery.fec.gov/cgi-bin/fecimg/?202503109754098419,Operating Expenditures
C00663914,GREAT AMERICAN FUND,202504089755144024,17,B4C9FF0C7B3E1488B832,1884597,ORG,ORGANIZATION,MEMBER'S DINING ROOM-US HOUSE OF REPRESENTATIVES,DC,FOOD/BEVERAGE,X,,1/15/25 0:00,177,4040820251183334053,WASHINGTON,205150001,OTHER,,2026,SB,4040820251183375021,https://docquery.fec.gov/cgi-bin/fecimg/?202504089755144024,Operating Expenditures
C00865253,COMMITTEE TO ELECT CAROLINE GLEICH,202503109754098420,17,500145348,1879894,ORG,ORGANIZATION,"NGP VAN, INC.",DC,DATABASE SOFTWARE,,,1/3/25 0:00,901,4031020251179730011,WASHINGTON,200055738,OTHER,,2026,SB,4031020251179817870,https://docquery.fec.gov/cgi-bin/fecimg/?202503109754098420,Operating Expenditures
C00765800,FETTERMAN FOR PA,202504159755604963,17,500586313,1887330,ORG,ORGANIZATION,MIDDLE SEAT CONSULTING,DC,DIGITAL CONSULTING,,,1/5/25 0:00,16468.64,4041520251184156654,WASHINGTON,200099600,OTHER,,2026,SB,4041720251185300943,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755604963,Operating Expenditures
C00865253,COMMITTEE TO ELECT CAROLINE GLEICH,202503109754098415,17,500152691,1879894,ORG,ORGANIZATION,"NGP VAN, INC.",DC,DATABASE SOFTWARE,,,2/7/25 0:00,901,4031020251179730011,WASHINGTON,200055738,OTHER,,2026,SB,4031020251179817856,https://docquery.fec.gov/cgi-bin/fecimg/?202503109754098415,Operating Expenditures
C00865253,COMMITTEE TO ELECT CAROLINE GLEICH,202503109754098415,17,500152750,1879894,ORG,ORGANIZATION,SPRUCE STREET COMPLIANCE,DC,"COMPLIANCE CONSULTING, SUBSCRIPTION, AND POSTAGE",,,1/28/25 0:00,5151.92,4031020251179730011,WASHINGTON,200054033,ADMINISTRATIVE,,2026,SB,4031020251179817855,https://docquery.fec.gov/cgi-bin/fecimg/?202503109754098415,Operating Expenditures
C00574889,TAMMY FOR ILLINOIS,202504159755803265,17,500440646,1887645,ORG,ORGANIZATION,AMALGAMATED BANK,DC,BANK FEE,,,2/26/25 0:00,10,4041520251184156872,WASHINGTON,200061202,OTHER,,2026,SB,4041720251185303053,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755803265,Operating Expenditures
C00897561,REPRESENTATION MATTERS:  STAND UP FOR DEMOCRACY,202504159755397242,17,SB17.4224,1886809,ORG,ORGANIZATION,"PCMS, LLC",DC,ACCOUNTING SERVICES,,,3/12/25 0:00,650,4041520251184156350,WASHINGTON DC,20006,OTHER,,2026,SB,4041620251184919350,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755397242,Operating Expenditures
C00864801,CLARENCE FOR GA,202504059755051294,17,SB17.4119,1884145,ORG,ORGANIZATION,GRASSROOTS ANALYTICS,DC,FUNDRAISING,,,3/21/25 0:00,250,4040620251183264001,WASHINGTON,20001,OTHER,,2026,SB,4040620251183275224,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051294,Operating Expenditures
C00477745,WOMACK FOR CONGRESS COMMITTEE,202504059755051201,17,B4A626D31F71F4B25BEB,1884133,ORG,ORGANIZATION,"ARISTOTLE INTERNATIONAL, INC",DC,CAMPAIGN SOFTWARE,,,1/30/25 0:00,1845.75,4040520251183252007,WASHINGTON,200031164,OTHER,,2026,SB,4040620251183275005,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051201,Operating Expenditures
C00477745,WOMACK FOR CONGRESS COMMITTEE,202504059755051206,17,B851F498505A9481BAF7,1884133,ORG,ORGANIZATION,CAPITOL HILL CLUB,DC,SEE SUBVENDORS,,,2/6/25 0:00,906.1,4040520251183252007,WASHINGTON,200031801,OTHER,,2026,SB,4040620251183275021,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051206,Operating Expenditures
C00477745,WOMACK FOR CONGRESS COMMITTEE,202504059755051224,17,BAD8040597A7F4996AFE,1884133,ORG,ORGANIZATION,MATCHBOX,DC,STAFF APPRECIATION DINNER,X,,2/13/25 0:00,332.2,4040520251183252007,WASHINGTON,200032835,OTHER,,2026,SB,4040620251183275073,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051224,Operating Expenditures
C00477745,WOMACK FOR CONGRESS COMMITTEE,202504059755051217,17,B0374040872284332AB0,1884133,ORG,ORGANIZATION,USPS,DC,OFFICE SUPPLIES,X,,1/21/25 0:00,4.39,4040520251183252007,WASHINGTON,205159992,ADMINISTRATIVE,,2026,SB,4040620251183275052,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051217,Operating Expenditures
C00477745,WOMACK FOR CONGRESS COMMITTEE,202504059755051206,17,BBA473C74EB41445DB4B,1884133,ORG,ORGANIZATION,CAPITOL HILL CLUB,DC,DONOR MEETING,X,,1/27/25 0:00,12.73,4040520251183252007,WASHINGTON,200031801,OTHER,,2026,SB,4040620251183275019,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051206,Operating Expenditures
C00477745,WOMACK FOR CONGRESS COMMITTEE,202504059755051207,17,B17820FE4385446C7BF2,1884133,ORG,ORGANIZATION,CAPITOL HILL CLUB,DC,ANNUAL DUES,X,,1/31/25 0:00,650,4040520251183252007,WASHINGTON,200031801,OTHER,,2026,SB,4040620251183275024,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051207,Operating Expenditures
C00477745,WOMACK FOR CONGRESS COMMITTEE,202504059755051209,17,B2591386586874BB38F0,1884133,ORG,ORGANIZATION,CAPITOL HILL CLUB,DC,MEALS,X,,2/5/25 0:00,40.4,4040520251183252007,WASHINGTON,200031801,TRAVEL,,2026,SB,4040620251183275030,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051209,Operating Expenditures
C00864207,KRISTEN FOR MICHIGAN,202504159755633402,17,500443210,1887395,ORG,ORGANIZATION,DEMOCRACY ENGINE,DC,MERCHANT FEES,,,3/27/25 0:00,140.01,4041520251184156701,WASHINGTON,200019901,OTHER,,2026,SB,4042520251186696831,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755633402,Operating Expenditures
C00477745,WOMACK FOR CONGRESS COMMITTEE,202504059755051202,17,B30CF82266A384B6B80F,1884133,ORG,ORGANIZATION,"ARISTOTLE INTERNATIONAL, INC",DC,CREDIT CARD FEES,,,2/27/25 0:00,75,4040520251183252007,WASHINGTON,200031164,OTHER,,2026,SB,4040620251183275007,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051202,Operating Expenditures
C00719559,SARA JACOBS FOR CONGRESS,202504159755414981,17,500544179,1886864,ORG,ORGANIZATION,THE FROST GROUP,DC,FUNDRAISING CONSULTING,,,3/19/25 0:00,7500,4041520251184156377,WASHINGTON,200163103,OTHER,,2026,SB,4042320251186366298,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755414981,Operating Expenditures
C00391029,JIM COSTA FOR CONGRESS,202504059755051370,17,BCD09C0F7C8D34B30A4C,1884152,ORG,ORGANIZATION,OSTERIA MORINI,DC,FOOD & BEVERAGES,X,,1/13/25 0:00,287,4040620251183264002,WASHINGTON,200033734,OTHER,,2026,SB,4040620251183275135,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051370,Operating Expenditures
C00492785,TED CRUZ FOR SENATE,202504159755665424,17,SB.80,1887585,ORG,ORGANIZATION,AIPAC,DC,FACILITY RENTAL,,,3/18/25 0:00,750,4041520251184156832,WASHINGTON,20001,ADMINISTRATIVE,,2026,SB,4041820251185458399,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755665424,Operating Expenditures
C00503185,RO FOR CONGRESS INC,202504159755426374,17,501237898,1886959,ORG,ORGANIZATION,SONOMA RESTAURANT,DC,MEALS,,,2/11/25 0:00,94.65,4041520251184156439,WASHINGTON,200031107,TRAVEL,,2026,SB,4042320251186380426,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755426374,Operating Expenditures
C00477745,WOMACK FOR CONGRESS COMMITTEE,202504059755051210,17,B98EA56F2FE2745AA87D,1884133,ORG,ORGANIZATION,CAPITOL HILL CLUB,DC,MONTHLY DUES,X,,2/28/25 0:00,88,4040520251183252007,WASHINGTON,200031801,OTHER,,2026,SB,4040620251183275032,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051210,Operating Expenditures
C00701003,HUNT FOR CONGRESS,202504239756381747,17,SB17.I12540,1890024,ORG,ORGANIZATION,REPUBLICAN ADS LLC,DC,WEB ADS,X,,2/14/25 0:00,500,4042320251186072006,WASHINGTON,20003,OTHER,,2026,SB,4042320251186376125,https://docquery.fec.gov/cgi-bin/fecimg/?202504239756381747,Operating Expenditures
C00443689,PEOPLE FOR BEN,202504159756041098,17,500987384,1887899,ORG,ORGANIZATION,EL SOL RESTAURANTE & TEQUILERIA,DC,CATERING,X,,1/28/25 0:00,130,4041520251184157038,WASHINGTON,200014217,FUNDRAISING,*,2026,SB,4042320251186359381,https://docquery.fec.gov/cgi-bin/fecimg/?202504159756041098,Operating Expenditures
C00457325,SHAHEEN FOR SENATE,202504159756072513,17,501233912,1888150,ORG,ORGANIZATION,SPRING HILL STRATEGIES,DC,RESEARCH SERVICES,,,1/31/25 0:00,2500,4041620251184296102,WASHINGTON,200025570,OTHER,,2026,SB,4042320251186361251,https://docquery.fec.gov/cgi-bin/fecimg/?202504159756072513,Operating Expenditures
C00494856,LOIS FRANKEL FOR CONGRESS,202504119755217369,17,500992003,1885354,ORG,ORGANIZATION,"DEMOCRACY ENGINE, LLC",DC,CREDIT CARD PROCESSING FEE,,,3/27/25 0:00,50,4041120251183621080,WASHINGTON,200115873,OTHER,,2026,SB,4041420251184147682,https://docquery.fec.gov/cgi-bin/fecimg/?202504119755217369,Operating Expenditures
C00892976,VALENTINO FOR CONGRESS,202503109754081978,17,SB17.4380.0,1879838,ORG,ORGANIZATION,CAPITOL HILL CLUB,DC,MEALS,X,,1/13/25 0:00,506.1,4031020251179730006,WASHINGTON,20003,TRAVEL,,2026,SB,4031020251179814964,https://docquery.fec.gov/cgi-bin/fecimg/?202503109754081978,Operating Expenditures
C00577999,BANKS FOR SENATE,202504159755532151,17,B902D73D884014958A25,1887192,ORG,ORGANIZATION,DUKE ENERGY BUSINESS SERVICES,DC,"VOID, REISSUE FACILITY RENTAL FROM 5/23/24, RETURNED CHECK, SEE REISSUE 1/8/2025",,,1/7/25 0:00,-365.5,4041520251184156588,WASHINGTON,200041740,ADMINISTRATIVE,,2026,SB,4042320251186376391,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755532151,Operating Expenditures
C00148999,FRIENDS OF DICK DURBIN COMMITTEE,202504159755371321,17,500582235,1886611,ORG,ORGANIZATION,USPS,DC,POSTAGE,X,,3/26/25 0:00,3.43,4041520251184156242,WASHINGTON,200024945,ADMINISTRATIVE,*,2026,SB,4042320251186373284,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755371321,Operating Expenditures
C00418293,COMMITTEE TO RE-ELECT HENRY HANK JOHNSON,202504159755419760,17,500582199,1886894,ORG,ORGANIZATION,"PREMIER POLITICAL COMPLIANCE, INC.",DC,COMPLIANCE SERVICES,,,3/6/25 0:00,2070.5,4041520251184156394,WASHINGTON,200051502,OTHER,,2026,SB,4042320251186386663,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755419760,Operating Expenditures
C00502294,SWALWELL FOR CONGRESS,202504159756048647,17,500087887,1887918,ORG,ORGANIZATION,HOUSE GIFT SHOP,DC,GESTURE/GIFT,,,3/10/25 0:00,94.7,4041520251184157053,WASHINGTON,205150001,OTHER,,2026,SB,4042320251186382338,https://docquery.fec.gov/cgi-bin/fecimg/?202504159756048647,Operating Expenditures
C00477745,WOMACK FOR CONGRESS COMMITTEE,202504059755051210,17,BC04A3B60F00E4A598BF,1884133,ORG,ORGANIZATION,CAPITOL HILL CLUB,DC,POLITICAL CONSULTANT MEETING,X,,2/25/25 0:00,42.35,4040520251183252007,WASHINGTON,200031801,OTHER,,2026,SB,4040620251183275031,https://docquery.fec.gov/cgi-bin/fecimg/?202504059755051210,Operating Expenditures
C00539825,CAPITO FOR WEST VIRGINIA,202504159755359486,17,SB17.I19073,1886509,ORG,ORGANIZATION,THE ENDICOTT GROUP,DC,FUNDRAISING CONSULTING,,,3/10/25 0:00,5000,4041520251184156183,WASHINGTON,20003,OTHER,,2026,SB,4042320251186378747,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755359486,Operating Expenditures
C00441014,ROB WITTMAN FOR CONGRESS,202504159755855579,17,SB17.I17634,1887716,ORG,ORGANIZATION,CAPITOL HILL CLUB,DC,FOOD,,,2/19/25 0:00,295.35,4041520251184156914,WASHINGTON,20003,OTHER,,2026,SB,4042320251186362689,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755855579,Operating Expenditures
C00639054,DEB HAALAND FOR CONGRESS,202503279754570526,17,500486035,1882607,ORG,ORGANIZATION,"CAPITOL COMPLIANCE ASSOCIATES, INC.",DC,COMPLIANCE SERVICES,,,1/15/25 0:00,500,4032720251181445007,WASHINGTON,200037508,OTHER,,2026,SB,4032720251181647715,https://docquery.fec.gov/cgi-bin/fecimg/?202503279754570526,Operating Expenditures
C00577999,BANKS FOR SENATE,202504159755532190,17,BB5511130A2C2494CBD5,1887192,ORG,ORGANIZATION,AMERICAN AIRLINES,DC,CREDIT AIRFARE,X,,3/14/25 0:00,-583.48,4041520251184156588,WASHINGTON,20001,OTHER,,2026,SB,4042320251186376506,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755532190,Operating Expenditures
C00893271,RANDY FINE FOR CONGRESS,202503209754322924,17,SB17.1053691,1882052,ORG,ORGANIZATION,REPUBLICAN JEWISH COALITION PAC,DC,FUNDRAISING FEES,,,3/10/25 0:00,67.5,4032020251180398003,WASHINGTON,20001,OTHER,,2026,SB,4032420251181225805,https://docquery.fec.gov/cgi-bin/fecimg/?202503209754322924,Operating Expenditures
C00893271,RANDY FINE FOR CONGRESS,202503209754322902,17,SB17.1050564,1882052,ORG,ORGANIZATION,DEMOCRACY ENGINE LLC,DC,MERCHANT FEES,,,2/13/25 0:00,200,4032020251180398003,WASHINGTON,20001,OTHER,,2026,SB,4032420251181225739,https://docquery.fec.gov/cgi-bin/fecimg/?202503209754322902,Operating Expenditures
C00893271,RANDY FINE FOR CONGRESS,202503209754322901,17,SB17.1046142,1882052,ORG,ORGANIZATION,DEMOCRACY ENGINE LLC,DC,MERCHANT FEES,,,1/16/25 0:00,50,4032020251180398003,WASHINGTON,20001,OTHER,,2026,SB,4032420251181225735,https://docquery.fec.gov/cgi-bin/fecimg/?202503209754322901,Operating Expenditures
C00893271,RANDY FINE FOR CONGRESS,202503209754322920,17,SB17.1045693,1882052,ORG,ORGANIZATION,REPUBLICAN JEWISH COALITION PAC,DC,FUNDRAISING FEES,,,1/15/25 0:00,18,4032020251180398003,WASHINGTON,20001,OTHER,,2026,SB,4032420251181225791,https://docquery.fec.gov/cgi-bin/fecimg/?202503209754322920,Operating Expenditures
C00893271,RANDY FINE FOR CONGRESS,202503209754322903,17,SB17.1048509,1882052,ORG,ORGANIZATION,DICKINSON WRIGHT PLLC,DC,LEGAL CONSULTING,,,2/10/25 0:00,3603,4032020251180398003,WASHINGTON,20006,OTHER,,2026,SB,4032420251181225741,https://docquery.fec.gov/cgi-bin/fecimg/?202503209754322903,Operating Expenditures
C00445452,CONNOLLY FOR CONGRESS,202504159756059950,17,500546515,1888054,ORG,ORGANIZATION,NATIONAL DEMOCRATIC CLUB,DC,FOOD & BEVERAGE,X,,3/7/25 0:00,87.37,4041620251184296051,WASHINGTON,200034006,OTHER,*,2026,SB,4042320251186383057,https://docquery.fec.gov/cgi-bin/fecimg/?202504159756059950,Operating Expenditures
C00893271,RANDY FINE FOR CONGRESS,202503209754322919,17,SB17.1044975,1882052,ORG,ORGANIZATION,REPUBLICAN JEWISH COALITION PAC,DC,FUNDRAISING FEES,,,1/9/25 0:00,3.24,4032020251180398003,WASHINGTON,20001,OTHER,,2026,SB,4032420251181225789,https://docquery.fec.gov/cgi-bin/fecimg/?202503209754322919,Operating Expenditures
